date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,speed,loser_entry,winner_entry,outcome
2007-05-28,Roland Garros,G,5,C,false,R32,Rafael Nadal,Spain,ESP,2,2,2362,Albert Montanes,,Spain,ESP,50,-2,1922,6-1 6-3 6-2,2,38,,,
2007-05-28,Roland Garros,G,5,C,false,R64,Rafael Nadal,Spain,ESP,2,,2362,Flavio Cipolla,,Italy,ITA,227,-1,1788,6-2 6-1 6-4,2,38,Q,,
2007-05-28,Roland Garros,G,5,C,false,R128,Rafael Nadal,Spain,ESP,2,2,2360,Juan Martin Del Potro,,Argentina,ARG,59,-2,1919,7-5 6-3 6-2,2,38,,,
2007-05-14,Hamburg Masters,M,3,C,false,F,Roger Federer,Switzerland,SUI,1,8,2487,Rafael Nadal,2,Spain,ESP,2,-8,2368,2-6 6-2 6-0,1,30,,,
2007-05-14,Hamburg Masters,M,3,C,false,SF,Rafael Nadal,Spain,ESP,2,5,2363,Lleyton Hewitt,16,Australia,AUS,21,-5,2134,2-6 6-3 7-5,2,30,,,
2007-05-14,Hamburg Masters,M,3,C,false,QF,Rafael Nadal,Spain,ESP,2,5,2358,Fernando Gonzalez,5,Chile,CHI,5,-5,2170,6-4 6-4,2,30,,,
2007-05-14,Hamburg Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,2,2,2356,Igor Andreev,,Russian Federation,RUS,164,-2,1965,6-4 6-1,2,30,,,
2007-05-14,Hamburg Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,2,1,2355,Oscar Hernandez,,Spain,ESP,69,-2,1833,7-5 6-1,2,30,Q,,
2007-05-07,Rome Masters,M,3,C,false,F,Rafael Nadal,Spain,ESP,2,6,2349,Fernando Gonzalez,6,Chile,CHI,6,-6,2166,6-2 6-2,2,28,,,
2007-05-07,Rome Masters,M,3,C,false,SF,Rafael Nadal,Spain,ESP,2,4,2345,Nikolay Davydenko,4,Russian Federation,RUS,4,-4,2081,7-6(3) 6-7(8) 6-4,2,28,,,
2007-05-07,Rome Masters,M,3,C,false,QF,Rafael Nadal,Spain,ESP,2,6,2339,Novak Djokovic,5,Serbia,SRB,5,-7,2195,6-2 6-3,2,28,,,
2007-05-07,Rome Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,2,5,2334,Mikhail Youzhny,15,Russian Federation,RUS,16,-4,2110,6-2 6-2,2,28,,,
2007-05-07,Rome Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,2,1,2333,Daniele Bracciali,,Italy,ITA,125,-2,1839,6-4 6-2,2,28,WC,,
2007-04-23,Barcelona,A,3,C,false,F,Rafael Nadal,Spain,ESP,2,5,2328,Guillermo Canas,12,Argentina,ARG,28,-5,2118,6-3 6-4,1,32,,,
2007-04-23,Barcelona,A,3,C,false,SF,Rafael Nadal,Spain,ESP,2,4,2324,David Ferrer,5,Spain,ESP,16,-4,2089,7-5 6-1,1,32,,,
2007-04-23,Barcelona,A,3,C,false,QF,Rafael Nadal,Spain,ESP,2,1,2323,Potito Starace,,Italy,ITA,72,-2,1871,6-2 7-5,1,32,,,
2007-04-23,Barcelona,A,3,C,false,R16,Rafael Nadal,Spain,ESP,2,2,2321,Thomas Johansson,,Sweden,SWE,73,-2,1971,6-1 6-4,1,32,,,
2007-04-23,Barcelona,A,3,C,false,R32,Rafael Nadal,Spain,ESP,2,2,2319,Kristof Vliegen,,Belgium,BEL,53,-2,1926,6-1 6-2,1,32,,,
2007-04-15,Monte Carlo Masters,M,3,C,false,F,Rafael Nadal,Spain,ESP,2,19,2300,Roger Federer,1,Switzerland,SUI,1,-19,2519,6-4 6-4,2,21,,,
2007-04-15,Monte Carlo Masters,M,3,C,false,SF,Rafael Nadal,Spain,ESP,2,5,2295,Tomas Berdych,10,Czech Republic,CZE,14,-6,2098,6-0 7-5,2,21,,,
2007-04-15,Monte Carlo Masters,M,3,C,false,QF,Rafael Nadal,Spain,ESP,2,2,2293,Philipp Kohlschreiber,,Germany,GER,59,-3,1923,6-2 6-3,2,21,Q,,
2007-04-15,Monte Carlo Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,2,2,2291,Kristof Vliegen,,Belgium,BEL,52,-2,1921,6-1 6-1,2,21,,,
2007-04-15,Monte Carlo Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,2,4,2287,Juan Ignacio Chela,,Argentina,ARG,22,-4,2037,6-3 6-1,2,21,,,
2007-03-19,Miami Masters,M,3,H,false,QF,Novak Djokovic,Serbia,SRB,10,16,2130,Rafael Nadal,2,Spain,ESP,2,-15,2302,6-3 6-4,10,53,,,
2007-03-19,Miami Masters,M,3,H,false,R16,Rafael Nadal,Spain,ESP,2,2,2300,Juan Martin Del Potro,,Argentina,ARG,63,-2,1929,6-0 6-4,2,53,,,
2007-03-19,Miami Masters,M,3,H,false,R32,Rafael Nadal,Spain,ESP,2,2,2298,Olivier Rochus,30,Belgium,BEL,36,-2,2021,W/O,2,53,,,W/O
2007-03-19,Miami Masters,M,3,H,false,R64,Rafael Nadal,Spain,ESP,2,1,2297,Ricardo Mello,,Brazil,BRA,127,-1,1779,7-6(7) 6-2,2,53,Q,,
2007-03-05,Indian Wells Masters,M,3,H,false,F,Rafael Nadal,Spain,ESP,2,6,2291,Novak Djokovic,12,Serbia,SRB,13,-7,2126,6-2 7-5,2,59,,,
2007-03-05,Indian Wells Masters,M,3,H,false,SF,Rafael Nadal,Spain,ESP,2,9,2282,Andy Roddick,3,United States,USA,3,-9,2212,6-4 6-3,2,59,,,
2007-03-05,Indian Wells Masters,M,3,H,false,QF,Rafael Nadal,Spain,ESP,2,4,2278,Juan Ignacio Chela,30,Argentina,ARG,31,-4,2023,7-5 7-5,2,59,,,
2007-03-05,Indian Wells Masters,M,3,H,false,R16,Rafael Nadal,Spain,ESP,2,3,2275,Juan Carlos Ferrero,22,Spain,ESP,23,-4,1978,6-1 6-1,2,59,,,
2007-03-05,Indian Wells Masters,M,3,H,false,R32,Rafael Nadal,Spain,ESP,2,3,2272,Fernando Verdasco,32,Spain,ESP,33,-3,1934,6-4 6-4,2,59,,,
